location_name,location_id,data_date,case_inflection_date,lag
Armenia,33,2/14/22,1/4/22,21
Azerbaijan,34,2/14/22,1/8/22,21
Georgia,35,2/14/22,1/1/22,21
Kazakhstan,36,2/14/22,1/4/22,21
Kyrgyzstan,37,2/14/22,1/2/22,21
Mongolia,38,2/14/22,12/31/21,28
Tajikistan,39,2/14/22,,28
Turkmenistan,40,2/14/22,,28
Uzbekistan,41,2/14/22,1/3/22,28
Albania,43,2/14/22,1/1/22,28
Bosnia and Herzegovina,44,2/14/22,12/24/21,28
Bulgaria,45,2/14/22,12/24/21,21
Croatia,46,2/14/22,12/23/21,21
Czechia,47,2/14/22,12/31/21,21
Hungary,48,2/14/22,1/1/22,28
Montenegro,50,2/14/22,12/20/21,21
North Macedonia,49,2/14/22,12/29/21,21
Poland,51,2/14/22,1/8/22,28
Romania,52,2/14/22,12/28/21,28
Serbia,53,2/14/22,12/25/21,28
Slovakia,54,2/14/22,1/23/22,28
Slovenia,55,2/14/22,12/24/21,28
Belarus,57,2/14/22,1/11/22,28
Estonia,58,2/14/22,12/22/21,28
Latvia,59,2/14/22,12/28/21,28
Lithuania,60,2/14/22,12/29/21,28
Republic of Moldova,61,2/14/22,12/31/21,28
Russian Federation,62,2/14/22,1/10/22,28
Ukraine,63,2/14/22,1/8/22,28
Australia,71,2/14/22,12/10/21,28
New Zealand ,72,2/14/22,1/29/22,28
Brunei Darussalam ,66,2/14/22,1/29/22,28
Japan,67,2/14/22,1/3/22,28
Republic of Korea,68,2/14/22,1/10/22,28
Singapore,69,2/14/22,12/30/21,28
Alberta,43858,2/14/22,12/10/21,42
British Columbia,43859,2/14/22,12/10/21,42
Manitoba,43860,2/14/22,12/15/21,42
New Brunswick,43861,2/14/22,12/18/21,42
Newfoundland and Labrador,43862,2/14/22,12/10/21,42
Northwest Territories ,43863,2/14/22,12/30/21,42
Nova Scotia,43864,2/14/22,12/10/21,42
Nunavut,43865,2/14/22,12/20/21,42
Ontario,43866,2/14/22,12/10/21,42
Prince Edward Island,43867,2/14/22,12/14/21,42
Quebec,43868,2/14/22,12/14/21,42
Saskatchewan,43869,2/14/22,12/20/21,42
Yukon,43870,2/14/22,12/28/21,42
Greenland,349,2/14/22,12/26/21,28
Alabama,523,2/14/22,12/18/21,28
Alaska,524,2/14/22,12/28/21,28
Arizona,525,2/14/22,12/25/21,28
Arkansas,526,2/14/22,12/24/21,28
California,527,2/14/22,12/18/21,28
Colorado,528,2/14/22,12/17/21,28
Connecticut,529,2/14/22,12/17/21,28
Delaware,530,2/14/22,12/23/21,28
District of Columbia,531,2/14/22,12/8/21,28
Florida,532,2/14/22,12/18/21,28
Georgia,533,2/14/22,12/15/21,28
Hawaii,534,2/14/22,12/13/21,28
Idaho,535,2/14/22,12/24/21,28
Illinois,536,2/14/22,12/20/21,28
Indiana,537,2/14/22,12/25/21,28
Iowa,538,2/14/22,12/23/21,28
Kansas,539,2/14/22,12/22/21,28
Kentucky,540,2/14/22,12/23/21,28
Louisiana,541,2/14/22,12/15/21,28
Maine,542,2/14/22,12/31/21,28
Maryland,543,2/14/22,12/17/21,28
Massachusetts,544,2/14/22,12/18/21,28
Michigan,545,2/14/22,12/23/21,28
Minnesota,546,2/14/22,12/28/21,28
Mississippi,547,2/14/22,12/24/21,28
Missouri,548,2/14/22,12/18/21,28
Montana,549,2/14/22,12/24/21,28
Nebraska,550,2/14/22,12/23/21,21
Nevada,551,2/14/22,12/24/21,28
New Hampshire,552,2/14/22,12/26/21,28
New Jersey,553,2/14/22,12/15/21,28
New Mexico,554,2/14/22,12/24/21,28
New York,555,2/14/22,12/15/21,28
North Carolina,556,2/14/22,12/25/21,28
North Dakota,557,2/14/22,12/31/21,28
Ohio,558,2/14/22,12/22/21,28
Oklahoma,559,2/14/22,12/24/21,21
Oregon,560,2/14/22,12/22/21,28
Pennsylvania,561,2/14/22,12/22/21,28
Rhode Island ,562,2/14/22,12/24/21,21
South Carolina,563,2/14/22,12/18/21,28
South Dakota ,564,2/14/22,12/30/21,21
Tennessee,565,2/14/22,12/20/21,28
Texas,566,2/14/22,12/20/21,28
Utah,567,2/14/22,12/24/21,28
Vermont,568,2/14/22,12/27/21,28
Virginia,569,2/14/22,12/22/21,28
Washington,570,2/14/22,12/15/21,28
King and Snohomish Counties,60886,2/14/22,12/14/21,28
Spokane County,3539,2/14/22,12/22/21,28
"Washington except for King, Snohomish, and Spokane Counties ",60887,2/14/22,12/18/21,28
West Virginia,571,2/14/22,12/24/21,28
Wisconsin,572,2/14/22,12/24/21,28
Wyoming,573,2/14/22,12/23/21,28
Argentina,97,2/14/22,12/22/21,35
Chile,98,2/14/22,12/28/21,28
Uruguay,99,2/14/22,12/24/21,35
Andorra,74,2/14/22,12/28/21,35
Austria,75,2/14/22,12/25/21,28
Belgium,76,2/14/22,12/24/21,28
Cyprus,77,2/14/22,12/22/21,28
Denmark,78,2/14/22,12/24/21,35
Finland,79,2/14/22,12/24/21,28
France,80,2/14/22,12/22/21,28
Baden-Württemberg,60377,2/14/22,12/27/21,28
Bavaria,60378,2/14/22,12/28/21,28
Berlin,60379,2/14/22,12/30/21,28
Brandenburg,60380,2/14/22,12/31/21,28
Bremen,60381,2/14/22,12/26/21,28
Hamburg,60382,2/14/22,12/27/21,28
Hesse,60383,2/14/22,12/28/21,28
Lower Saxony,60384,2/14/22,12/27/21,28
Mecklenburg-Vorpommern ,60385,2/14/22,12/27/21,28
North Rhine-Westphalia,60386,2/14/22,12/28/21,28
Rhineland-Palatinate,60387,2/14/22,12/27/21,28
Saarland,60388,2/14/22,12/27/21,28
