location_name,location_id,case_inflection_date,lag
Armenia,33,6/15/22,21
Azerbaijan,34,6/15/22,21
Georgia,35,6/15/22,21
Kazakhstan,36,7/1/22,21
Kyrgyzstan,37,6/22/22,21
Mongolia,38,7/15/22,28
Tajikistan,39,,28
Turkmenistan,40,,28
Uzbekistan,41,6/7/22,28
Albania,43,6/15/22,28
Bosnia and Herzegovina,44,6/22/22,28
Bulgaria,45,6/22/22,21
Croatia,46,6/15/22,21
Czechia,47,6/15/22,21
Hungary,48,6/15/22,28
Montenegro,50,6/15/22,21
North Macedonia,49,6/15/22,21
Poland,51,6/15/22,28
Romania,52,6/15/22,28
Serbia,53,6/15/22,28
Slovakia,54,6/15/22,28
Slovenia,55,6/15/22,28
Belarus,57,6/15/22,28
Estonia,58,6/15/22,28
Latvia,59,6/15/22,28
Lithuania,60,6/15/22,28
Republic of Moldova,61,6/22/22,28
Russian Federation,62,7/7/22,28
Ukraine,63,7/15/22,28
Australia,71,6/15/22,28
New Zealand ,72,6/22/22,28
Brunei Darussalam ,66,6/22/22,28
Japan,67,6/22/22,28
Republic of Korea,68,6/22/22,28
Singapore,69,6/15/22,28
Alberta,43858,6/22/22,42
British Columbia,43859,6/15/22,42
Manitoba,43860,6/22/22,42
New Brunswick,43861,6/15/22,42
Newfoundland and Labrador,43862,6/22/22,42
Northwest Territories ,43863,6/22/22,42
Nova Scotia,43864,6/22/22,42
Nunavut,43865,6/22/22,42
Ontario,43866,6/15/22,42
Prince Edward Island,43867,6/15/22,42
Quebec,43868,6/15/22,42
Saskatchewan,43869,6/22/22,42
Yukon,43870,6/15/22,42
Greenland,349,,28
Alabama,523,6/15/22,28
Alaska,524,6/15/22,28
Arizona,525,6/15/22,28
Arkansas,526,6/15/22,28
California,527,6/15/22,28
Colorado,528,6/15/22,28
Connecticut,529,6/15/22,28
Delaware,530,6/15/22,28
District of Columbia,531,6/15/22,28
Florida,532,6/15/22,28
Georgia,533,6/15/22,28
Hawaii,534,6/15/22,28
Idaho,535,6/15/22,28
Illinois,536,6/15/22,28
Indiana,537,6/15/22,28
Iowa,538,6/15/22,28
Kansas,539,6/15/22,28
Kentucky,540,6/15/22,28
Louisiana,541,6/15/22,28
Maine,542,6/15/22,28
Maryland,543,6/15/22,28
Massachusetts,544,6/15/22,28
Michigan,545,6/15/22,28
Minnesota,546,6/15/22,28
Mississippi,547,6/15/22,28
Missouri,548,6/15/22,28
Montana,549,6/15/22,28
Nebraska,550,6/15/22,21
Nevada,551,6/15/22,28
New Hampshire,552,6/15/22,28
New Jersey,553,6/15/22,28
New Mexico,554,6/15/22,28
New York,555,6/15/22,28
North Carolina,556,6/15/22,28
North Dakota,557,6/15/22,28
Ohio,558,6/15/22,28
Oklahoma,559,6/15/22,21
Oregon,560,6/15/22,28
Pennsylvania,561,6/15/22,28
Rhode Island ,562,6/15/22,21
South Carolina,563,6/15/22,28
South Dakota ,564,6/15/22,21
Tennessee,565,6/15/22,28
Texas,566,6/15/22,28
Utah,567,6/15/22,28
Vermont,568,6/15/22,28
Virginia,569,6/15/22,28
Washington,570,6/15/22,28
King and Snohomish Counties,60886,6/15/22,28
Spokane County,3539,6/15/22,28
"Washington except for King, Snohomish, and Spokane Counties ",60887,6/15/22,28
West Virginia,571,6/15/22,28
Wisconsin,572,6/15/22,28
Wyoming,573,6/15/22,28
Argentina,97,6/22/22,35
Chile,98,6/22/22,28
Uruguay,99,6/22/22,35
Andorra,74,6/7/22,35
Austria,75,6/7/22,28
Belgium,76,6/7/22,28
Cyprus,77,6/7/22,28
Denmark,78,6/7/22,35
Finland,79,6/7/22,28
France,80,6/7/22,28
Baden-Württemberg,60377,6/7/22,28
Bavaria,60378,6/7/22,28
Berlin,60379,6/7/22,28
Brandenburg,60380,6/7/22,28
Bremen,60381,6/7/22,28
Hamburg,60382,6/7/22,28
Hesse,60383,6/7/22,28
Lower Saxony,60384,6/7/22,28
Mecklenburg-Vorpommern ,60385,6/7/22,28
North Rhine-Westphalia,60386,6/7/22,28
Rhineland-Palatinate,60387,6/7/22,28
Saarland,60388,6/7/22,28
Saxony,60390,6/7/22,28
Saxony-Anhalt ,60389,6/7/22,28
Schleswig-Holstein,60391,6/7/22,28
Thuringia,60392,6/7/22,28
Greece,82,6/7/22,42
Iceland,83,6/1/22,28
Ireland,84,6/1/22,28
Israel,85,6/1/22,56
Abruzzo,35507,6/7/22,28
Basilicata,35511,6/7/22,28
Calabria,35512,6/7/22,28
Campania,35509,6/7/22,28
Emilia-Romagna,35502,6/7/22,28
Friuli-Venezia Giulia,35501,6/7/22,28
Lazio,35506,6/7/22,28
Liguria,35496,6/7/22,28
Lombardia,35497,6/7/22,28
Marche,35505,6/7/22,28
Molise,35508,6/7/22,28
Piemonte,35494,6/7/22,28
Provincia autonoma di Bolzano ,35498,6/7/22,28
Provincia autonoma di Trento,35499,6/7/22,28
Puglia,35510,6/7/22,28
Sardegna,35514,6/7/22,28
Sicilia,35513,6/7/22,28
Toscana,35503,6/7/22,28
Umbria,35504,6/7/22,28
Valle d'Aosta,35495,6/7/22,28
Veneto,35500,6/7/22,28
Luxembourg,87,6/7/22,28
Malta,88,6/7/22,42
Monaco,367,6/7/22,28
Netherlands,89,6/7/22,28
Norway,90,6/7/22,21
Portugal,91,5/15/22,28
San Marino,396,6/15/22,28
Andalucia,60357,6/7/22,28
Aragon,60358,6/7/22,28
Asturias,60365,6/7/22,28
Balearic Islands,60363,6/7/22,28
Basque Country,60374,6/7/22,28
Canary Islands,60364,6/7/22,28
Cantabria,60359,6/7/22,28
Castile and León ,60367,6/7/22,28
Castilla-La Mancha ,60360,6/7/22,28
Catalonia,60368,6/7/22,28
Ceuta,60369,6/7/22,28
Community of Madrid,60361,6/7/22,28
Extremadura,60362,6/7/22,28
Galicia,60372,6/7/22,28
La Rioja,60376,6/7/22,28
Melilla,60373,6/7/22,28
Murcia,60366,6/7/22,28
Navarre,60370,6/7/22,28
Valencian Community,60371,6/7/22,28
Sweden,93,6/7/22,28
Switzerland,94,6/1/22,28
England,4749,6/1/22,42
Northern Ireland,433,6/1/22,42
Scotland,434,6/1/22,42
Wales,4636,6/7/22,42
Bolivia (Plurinational State of) ,121,6/7/22,28
Ecuador,122,6/7/22,28
Peru,123,6/7/22,28
Antigua and Barbuda ,105,6/15/22,28
Bahamas,106,6/15/22,28
Barbados,107,6/15/22,28
Belize,108,6/15/22,28
Bermuda,305,6/15/22,28
Cuba,109,6/15/22,28
Dominica,110,6/15/22,28
Dominican Republic,111,6/15/22,28
Grenada,112,6/15/22,28
Guyana,113,6/15/22,28
Haiti,114,6/15/22,28
Jamaica,115,6/15/22,28
Puerto Rico,385,6/15/22,35
Saint Kitts and Nevis ,393,6/15/22,28
Saint Lucia ,116,6/15/22,28
Saint Vincent and the Grenadines,117,6/15/22,28
Suriname,118,6/15/22,28
Trinidad and Tobago,119,6/15/22,28
United States Virgin Islands,422,6/15/22,28
Colombia,125,6/7/22,28
Costa Rica,126,6/7/22,28
El Salvador ,127,6/7/22,28
Guatemala,128,6/7/22,28
Honduras,129,6/7/22,28
Aguascalientes,4643,6/7/22,28
Baja California,4644,6/7/22,28
Baja California Sur ,4645,6/7/22,28
Campeche,4646,6/7/22,28
Coahuila,4647,6/7/22,28
Colima,4648,6/7/22,28
Chiapas,4649,6/7/22,28
Chihuahua,4650,6/7/22,28
Mexico City,4651,6/7/22,28
Durango,4652,6/7/22,28
Guanajuato,4653,6/7/22,28
Guerrero,4654,6/7/22,28
Hidalgo,4655,6/7/22,28
Jalisco,4656,6/7/22,28
México,4657,6/7/22,28
Michoacán de Ocampo ,4658,6/7/22,28
Morelos,4659,6/7/22,28
Nayarit,4660,6/7/22,28
Nuevo Leon,4661,6/7/22,28
Oaxaca,4662,6/7/22,28
Puebla,4663,6/7/22,28
Querétaro,4664,6/7/22,28
Quintana Roo,4665,6/7/22,28
San Luis Potosí ,4666,6/7/22,28
Sinaloa,4667,6/7/22,28
Sonora,4668,6/7/22,28
Tabasco,4669,6/7/22,28
Tamaulipas,4670,6/7/22,28
Tlaxcala,4671,6/7/22,28
Veracruz de Ignacio de la Llave,4672,6/7/22,28
Yucatán,4673,6/7/22,28
Zacatecas,4674,6/7/22,28
Nicaragua,131,6/7/22,28
Panama,132,6/7/22,28
Venezuela (Bolivarian Republic of) ,133,6/7/22,28
Acre,4750,6/7/22,28
Alagoas,4751,6/7/22,28
Amazonas,4752,6/7/22,28
Amapa,4753,6/7/22,28
Bahia,4754,6/7/22,28
Ceara,4755,6/7/22,28
Distrito Federal ,4756,6/7/22,28
Espírito Santo,4757,6/7/22,28
Goias,4758,6/7/22,28
Maranhao,4759,6/7/22,28
Minas Gerais,4760,6/7/22,28
Mato Grosso do Sul,4761,6/7/22,28
Mato Grosso,4762,6/7/22,28
Pará,4763,6/7/22,28
Paraíba,4764,6/7/22,28
Paraná,4765,6/7/22,28
Pernambuco,4766,6/7/22,28
Piaui,4767,6/7/22,28
Rio de Janeiro,4768,6/7/22,28
Rio Grande do Norte ,4769,6/7/22,28
Rondônia ,4770,6/7/22,28
Roraima,4771,6/7/22,28
Rio Grande do Sul ,4772,6/7/22,28
Santa Catarina,4773,6/7/22,28
Sergipe ,4774,6/7/22,28
Sao Paulo,4775,6/7/22,28
Tocantins,4776,6/7/22,28
Paraguay,136,6/7/22,28
Afghanistan,160,7/1/22,28
Algeria,139,6/15/22,28
Bahrain,140,6/1/22,28
Egypt,141,7/1/22,28
Iran (Islamic Republic of) ,142,6/22/22,28
Iraq,143,6/15/22,28
Jordan,144,6/15/22,28
Kuwait,145,6/1/22,28
Lebanon,146,6/1/22,28
Libya,147,7/1/22,28
Morocco,148,6/1/22,28
Oman,150,6/7/22,28
Palestine,149,6/15/22,28
Qatar,151,6/15/22,28
Saudi Arabia,152,6/1/22,28
Sudan,522,6/15/22,28
Syrian Arab Republic,153,7/7/22,28
Tunisia,154,6/15/22,28
Turkey,155,6/22/22,28
United Arab Emirates,156,6/1/22,28
Yemen,157,7/7/22,28
Bangladesh,161,6/7/22,28
Bhutan,162,6/15/22,28
Andhra Pradesh,4841,6/7/22,21
Arunachal Pradesh,4842,7/1/22,21
Assam,4843,6/15/22,21
Bihar,4844,6/15/22,21
Chhattisgarh,4846,6/15/22,21
Dadra and Nagar Haveli and Daman and Diu,60896,6/15/22,21
Delhi,4849,6/7/22,21
Goa,4850,6/1/22,21
Gujarat,4851,6/1/22,21
Haryana,4852,6/1/22,21
Himachal Pradesh,4853,6/15/22,21
Jammu & Kashmir and Ladakh,4854,6/15/22,21
Jharkhand,4855,6/15/22,21
Karnataka,4856,6/7/22,21
Kerala,4857,6/1/22,21
Madhya Pradesh,4859,6/15/22,28
Maharashtra,4860,6/1/22,21
Manipur,4861,6/22/22,21
Meghalaya,4862,6/15/22,21
Mizoram,4863,6/15/22,21
Nagaland,4864,6/22/22,21
Odisha,4865,6/15/22,21
Andaman and Nicobar Islands,4840,6/15/22,21
Chandigarh,4845,6/15/22,21
Dadra and Nagar Haveli and Daman and Diu,60896,6/15/22,21
Lakshadweep,4858,6/15/22,21
Puducherry,4866,6/15/22,21
